StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q4_8,Q4_9,Q4_10,Q4_11,Q4_12,Q4_13,Q4_14,Q4_15,Q4_16,Q4_17,Q4_18,Q4_19,Q4_20,SC0
2026-02-26 15:40:40,2026-02-26 15:40:40,IP Address,,100,144,True,2026-02-26 15:40:40,R_B_POST_0160,,,,,,,anonymous,EN,Control,D,D,B,B,A,C,A,A,D,A,A,C,B,A,C,D,B,D,C,C,3
2026-02-11 09:04:16,2026-02-11 09:04:16,IP Address,,100,667,True,2026-02-11 09:04:16,R_B_POST_0172,,,,,,,anonymous,EN,Control,B,C,D,B,B,B,B,B,B,B,C,C,A,A,C,B,B,B,B,B,13
2026-02-22 11:12:48,2026-02-22 11:12:48,IP Address,,100,662,True,2026-02-22 11:12:48,R_B_POST_0156,,,,,,,anonymous,EN,Control,C,B,D,D,D,A,A,C,B,C,C,C,B,B,C,B,B,B,B,B,12
2026-02-16 14:57:03,2026-02-16 14:57:03,IP Address,,100,319,True,2026-02-16 14:57:03,R_B_POST_0231,,,,,,,anonymous,EN,Intervention B,D,C,A,A,B,C,A,C,B,B,B,C,A,B,B,C,B,B,B,D,12
2026-02-24 13:26:14,2026-02-24 13:26:14,IP Address,,100,261,True,2026-02-24 13:26:14,R_B_POST_0158,,,,,,,anonymous,EN,Control,C,D,D,A,C,D,A,C,B,D,B,D,B,D,D,D,B,B,C,C,5
2026-02-03 10:08:32,2026-02-03 10:08:32,IP Address,,100,87,True,2026-02-03 10:08:32,R_B_POST_0164,,,,,,,anonymous,EN,Control,C,C,D,A,B,B,B,D,B,B,D,B,A,B,B,C,D,B,B,B,13
2026-02-15 13:50:50,2026-02-15 13:50:50,IP Address,,100,852,True,2026-02-15 13:50:50,R_B_POST_0230,,,,,,,anonymous,EN,Intervention B,D,C,D,A,B,A,B,C,B,B,C,B,C,B,C,C,B,C,D,C,15
2026-02-24 13:35:05,2026-02-24 13:35:05,IP Address,,100,713,True,2026-02-24 13:35:05,R_B_POST_0185,,,,,,,anonymous,EN,Intervention A,D,C,D,D,D,A,B,C,B,D,C,B,D,D,C,C,B,B,B,B,16
2026-02-26 15:58:22,2026-02-26 15:58:22,IP Address,,100,217,True,2026-02-26 15:58:22,R_B_POST_0214,,,,,,,anonymous,EN,Intervention A,C,C,D,D,A,C,B,D,B,D,C,B,A,A,C,B,B,D,D,A,10
2026-02-26 15:07:13,2026-02-26 15:07:13,IP Address,,100,561,True,2026-02-26 15:07:13,R_B_POST_0241,,,,,,,anonymous,EN,Intervention B,D,C,D,B,B,A,B,C,B,B,C,B,A,B,C,C,B,B,B,D,18
2026-02-05 12:13:07,2026-02-05 12:13:07,IP Address,,100,150,True,2026-02-05 12:13:07,R_B_POST_0139,,,,,,,anonymous,EN,Control,C,A,D,A,B,D,D,C,B,B,C,B,A,B,C,C,D,A,B,D,12
2026-02-06 13:20:20,2026-02-06 13:20:20,IP Address,,100,560,True,2026-02-06 13:20:20,R_B_POST_0140,,,,,,,anonymous,EN,Control,D,C,C,D,B,D,B,C,B,D,C,B,B,B,C,B,B,B,B,B,15
2026-02-14 12:16:04,2026-02-14 12:16:04,IP Address,,100,358,True,2026-02-14 12:16:04,R_B_POST_0148,,,,,,,anonymous,EN,Control,D,C,D,D,B,D,C,C,B,D,C,A,A,C,C,C,B,B,B,B,15
2026-02-24 13:53:47,2026-02-24 13:53:47,IP Address,,100,718,True,2026-02-24 13:53:47,R_B_POST_0239,,,,,,,anonymous,EN,Intervention B,D,C,A,D,D,A,B,D,B,B,C,B,A,B,A,A,B,C,D,B,13
2026-02-19 08:09:51,2026-02-19 08:09:51,IP Address,,100,894,True,2026-02-19 08:09:51,R_B_POST_0207,,,,,,,anonymous,EN,Intervention A,D,A,B,D,B,B,B,C,C,C,C,A,C,D,C,C,B,A,B,D,10
2026-02-27 16:14:26,2026-02-27 16:14:26,IP Address,,100,302,True,2026-02-27 16:14:26,R_B_POST_0242,,,,,,,anonymous,EN,Intervention B,D,C,D,D,B,B,B,C,B,B,C,B,A,B,C,C,B,B,B,D,18
2026-02-06 13:56:44,2026-02-06 13:56:44,IP Address,,100,96,True,2026-02-06 13:56:44,R_B_POST_0248,,,,,,,anonymous,EN,Intervention B,B,C,D,D,B,A,B,C,B,B,C,C,A,B,C,C,C,B,B,B,17
2026-02-25 14:42:18,2026-02-25 14:42:18,IP Address,,100,662,True,2026-02-25 14:42:18,R_B_POST_0186,,,,,,,anonymous,EN,Intervention A,D,C,D,D,B,C,D,A,B,B,C,B,A,B,C,C,A,B,B,B,16
2026-02-13 11:27:33,2026-02-13 11:27:33,IP Address,,100,135,True,2026-02-13 11:27:33,R_B_POST_0201,,,,,,,anonymous,EN,Intervention A,D,D,D,D,B,A,D,C,C,B,B,B,A,B,D,A,B,B,B,B,14
2026-02-11 09:13:07,2026-02-11 09:13:07,IP Address,,100,683,True,2026-02-11 09:13:07,R_B_POST_0199,,,,,,,anonymous,EN,Intervention A,D,C,D,C,D,A,B,A,B,A,C,D,A,A,C,D,A,B,C,D,10
2026-02-26 15:49:31,2026-02-26 15:49:31,IP Address,,100,805,True,2026-02-26 15:49:31,R_B_POST_0187,,,,,,,anonymous,EN,Intervention A,C,D,C,D,B,D,C,C,B,B,C,B,A,C,C,A,D,B,B,D,11
2026-02-04 11:42:18,2026-02-04 11:42:18,IP Address,,100,160,True,2026-02-04 11:42:18,R_B_POST_0246,,,,,,,anonymous,EN,Intervention B,D,D,B,D,C,D,B,C,A,C,D,A,A,D,C,D,A,C,B,C,7
2026-02-14 12:34:46,2026-02-14 12:34:46,IP Address,,100,188,True,2026-02-14 12:34:46,R_B_POST_0202,,,,,,,anonymous,EN,Intervention A,D,D,D,A,B,A,C,C,B,A,C,C,A,B,C,D,B,B,D,C,12
2026-02-03 10:26:14,2026-02-03 10:26:14,IP Address,,100,538,True,2026-02-03 10:26:14,R_B_POST_0218,,,,,,,anonymous,EN,Intervention B,C,C,D,A,B,A,C,A,A,D,D,B,A,B,B,C,A,D,B,B,10
2026-02-04 11:24:36,2026-02-04 11:24:36,IP Address,,100,290,True,2026-02-04 11:24:36,R_B_POST_0192,,,,,,,anonymous,EN,Intervention A,C,A,D,D,B,A,D,C,B,B,C,D,C,B,C,C,B,B,B,A,14
2026-02-12 10:20:20,2026-02-12 10:20:20,IP Address,,100,465,True,2026-02-12 10:20:20,R_B_POST_0200,,,,,,,anonymous,EN,Intervention A,D,A,D,D,B,D,B,C,B,A,A,B,A,B,B,B,D,B,B,C,12
2026-02-05 12:49:31,2026-02-05 12:49:31,IP Address,,100,178,True,2026-02-05 12:49:31,R_B_POST_0247,,,,,,,anonymous,EN,Intervention B,D,C,D,D,B,A,D,D,B,B,C,B,A,B,C,C,C,B,B,B,17
2026-02-18 16:53:47,2026-02-18 16:53:47,IP Address,,100,363,True,2026-02-18 16:53:47,R_B_POST_0179,,,,,,,anonymous,EN,Intervention A,A,C,A,B,C,C,A,C,B,B,C,D,A,A,C,C,B,D,B,C,10
2026-02-05 12:40:40,2026-02-05 12:40:40,IP Address,,100,157,True,2026-02-05 12:40:40,R_B_POST_0220,,,,,,,anonymous,EN,Intervention B,B,A,A,B,B,A,C,C,B,A,C,B,A,B,C,C,D,D,D,B,11
2026-02-12 10:11:29,2026-02-12 10:11:29,IP Address,,100,461,True,2026-02-12 10:11:29,R_B_POST_0173,,,,,,,anonymous,EN,Control,D,D,D,D,B,A,B,C,B,C,C,B,A,B,C,C,B,B,D,C,16
2026-02-01 08:54:06,2026-02-01 08:54:06,IP Address,,100,316,True,2026-02-01 08:54:06,R_B_POST_0162,,,,,,,anonymous,EN,Control,D,C,D,C,B,B,B,C,B,A,D,B,D,D,B,D,A,D,B,C,9
2026-02-20 09:25:55,2026-02-20 09:25:55,IP Address,,100,422,True,2026-02-20 09:25:55,R_B_POST_0235,,,,,,,anonymous,EN,Intervention B,D,D,A,D,B,A,B,C,B,C,C,B,A,B,C,C,C,B,C,D,14
2026-02-22 11:21:39,2026-02-22 11:21:39,IP Address,,100,384,True,2026-02-22 11:21:39,R_B_POST_0183,,,,,,,anonymous,EN,Intervention A,C,D,D,D,C,A,A,B,B,D,C,C,A,D,B,B,B,B,B,D,9
2026-02-02 09:10:10,2026-02-02 09:10:10,IP Address,,100,357,True,2026-02-02 09:10:10,R_B_POST_0190,,,,,,,anonymous,EN,Intervention A,A,B,D,A,B,A,B,C,B,B,D,B,A,B,C,A,C,B,B,C,13
2026-02-09 16:17:23,2026-02-09 16:17:23,IP Address,,100,864,True,2026-02-09 16:17:23,R_B_POST_0251,,,,,,,anonymous,EN,Intervention B,D,C,D,D,B,B,B,A,D,C,C,B,B,B,C,A,B,C,B,B,13
2026-02-16 14:39:21,2026-02-16 14:39:21,IP Address,,100,605,True,2026-02-16 14:39:21,R_B_POST_0177,,,,,,,anonymous,EN,Intervention A,D,C,B,A,B,A,C,C,B,B,C,B,A,B,C,B,C,B,B,C,14
2026-02-08 15:43:37,2026-02-08 15:43:37,IP Address,,100,276,True,2026-02-08 15:43:37,R_B_POST_0169,,,,,,,anonymous,EN,Control,C,C,C,A,C,D,A,A,A,C,D,B,B,B,B,D,A,A,C,B,4
2026-02-21 10:32:08,2026-02-21 10:32:08,IP Address,,100,813,True,2026-02-21 10:32:08,R_B_POST_0236,,,,,,,anonymous,EN,Intervention B,B,C,D,D,B,A,B,C,B,B,C,B,A,B,A,C,B,D,B,C,16
2026-02-25 14:00:00,2026-02-25 14:00:00,IP Address,,100,670,True,2026-02-25 14:00:00,R_B_POST_0240,,,,,,,anonymous,EN,Intervention B,D,B,B,A,B,C,B,C,C,D,C,C,C,D,C,B,B,B,B,B,10
2026-02-02 09:19:01,2026-02-02 09:19:01,IP Address,,100,654,True,2026-02-02 09:19:01,R_B_POST_0217,,,,,,,anonymous,EN,Intervention B,C,C,D,B,D,B,D,C,D,C,A,A,A,B,C,B,D,A,B,C,7
2026-02-08 15:01:19,2026-02-08 15:01:19,IP Address,,100,238,True,2026-02-08 15:01:19,R_B_POST_0223,,,,,,,anonymous,EN,Intervention B,D,C,D,D,B,A,B,C,B,B,C,B,A,B,C,C,B,B,B,C,19
2026-02-20 09:58:22,2026-02-20 09:58:22,IP Address,,100,521,True,2026-02-20 09:58:22,R_B_POST_0154,,,,,,,anonymous,EN,Control,A,C,D,A,B,D,B,C,B,B,C,D,A,A,C,C,A,A,A,B,12
2026-02-02 09:52:28,2026-02-02 09:52:28,IP Address,,100,112,True,2026-02-02 09:52:28,R_B_POST_0136,,,,,,,anonymous,EN,Control,A,D,D,A,B,B,A,C,B,D,D,B,A,B,B,B,C,B,D,D,8
2026-02-23 12:19:01,2026-02-23 12:19:01,IP Address,,100,599,True,2026-02-23 12:19:01,R_B_POST_0157,,,,,,,anonymous,EN,Control,D,A,D,A,B,A,B,D,C,A,B,D,A,C,C,D,B,C,B,B,10
2026-02-13 11:18:42,2026-02-13 11:18:42,IP Address,,100,645,True,2026-02-13 11:18:42,R_B_POST_0174,,,,,,,anonymous,EN,Intervention A,B,C,D,B,C,A,B,C,B,D,C,B,A,D,C,C,D,C,B,B,13
2026-02-27 16:05:35,2026-02-27 16:05:35,IP Address,,100,230,True,2026-02-27 16:05:35,R_B_POST_0215,,,,,,,anonymous,EN,Intervention B,D,C,D,D,B,A,B,C,B,D,C,B,C,B,C,D,B,A,B,B,16
2026-02-09 16:41:59,2026-02-09 16:41:59,IP Address,,100,851,True,2026-02-09 16:41:59,R_B_POST_0143,,,,,,,anonymous,EN,Control,D,C,D,D,B,C,C,A,B,B,C,B,A,D,C,C,D,B,B,B,15
2026-02-04 11:06:54,2026-02-04 11:06:54,IP Address,,100,795,True,2026-02-04 11:06:54,R_B_POST_0138,,,,,,,anonymous,EN,Control,B,D,A,C,B,A,C,D,B,D,C,B,C,B,C,A,C,A,D,B,8
2026-02-15 13:23:17,2026-02-15 13:23:17,IP Address,,100,185,True,2026-02-15 13:23:17,R_B_POST_0149,,,,,,,anonymous,EN,Control,D,C,D,A,B,C,B,C,B,A,B,B,A,B,C,D,C,B,B,B,14
2026-02-22 11:39:21,2026-02-22 11:39:21,IP Address,,100,708,True,2026-02-22 11:39:21,R_B_POST_0237,,,,,,,anonymous,EN,Intervention B,D,C,D,D,B,A,B,C,B,B,C,C,A,B,C,D,B,A,B,B,17
2026-02-16 14:30:30,2026-02-16 14:30:30,IP Address,,100,266,True,2026-02-16 14:30:30,R_B_POST_0150,,,,,,,anonymous,EN,Control,D,C,C,D,C,A,B,C,C,C,B,D,A,B,C,D,B,B,B,B,13
2026-02-10 08:06:54,2026-02-10 08:06:54,IP Address,,100,629,True,2026-02-10 08:06:54,R_B_POST_0198,,,,,,,anonymous,EN,Intervention A,A,B,D,B,B,D,B,C,B,C,C,C,A,B,C,C,B,D,B,B,13
2026-02-09 16:08:32,2026-02-09 16:08:32,IP Address,,100,806,True,2026-02-09 16:08:32,R_B_POST_0224,,,,,,,anonymous,EN,Intervention B,D,C,D,D,B,A,A,C,A,D,C,A,A,B,C,B,B,B,B,A,14
2026-02-18 16:44:56,2026-02-18 16:44:56,IP Address,,100,875,True,2026-02-18 16:44:56,R_B_POST_0152,,,,,,,anonymous,EN,Control,A,D,D,D,D,A,C,A,B,B,C,B,A,A,D,C,D,B,B,A,11
2026-02-08 15:52:28,2026-02-08 15:52:28,IP Address,,100,768,True,2026-02-08 15:52:28,R_B_POST_0196,,,,,,,anonymous,EN,Intervention A,C,A,D,D,B,C,C,A,D,D,D,B,A,B,C,B,B,C,B,D,9
2026-02-21 10:23:17,2026-02-21 10:23:17,IP Address,,100,303,True,2026-02-21 10:23:17,R_B_POST_0209,,,,,,,anonymous,EN,Intervention A,B,C,D,B,B,A,B,C,B,B,C,B,A,C,C,B,A,D,B,D,13
2026-02-19 08:51:09,2026-02-19 08:51:09,IP Address,,100,275,True,2026-02-19 08:51:09,R_B_POST_0153,,,,,,,anonymous,EN,Control,D,C,D,B,B,A,A,D,B,C,A,D,A,B,C,B,A,D,B,C,10
2026-02-11 09:22:58,2026-02-11 09:22:58,IP Address,,100,857,True,2026-02-11 09:22:58,R_B_POST_0226,,,,,,,anonymous,EN,Intervention B,D,B,D,D,B,A,B,C,B,B,C,D,A,B,C,C,A,B,B,B,17
2026-02-15 13:32:08,2026-02-15 13:32:08,IP Address,,100,489,True,2026-02-15 13:32:08,R_B_POST_0176,,,,,,,anonymous,EN,Intervention A,D,A,C,D,B,D,B,B,B,B,C,B,A,B,C,B,B,B,B,B,15
2026-02-15 13:41:59,2026-02-15 13:41:59,IP Address,,100,795,True,2026-02-15 13:41:59,R_B_POST_0203,,,,,,,anonymous,EN,Intervention A,D,A,D,D,B,A,D,C,C,D,C,B,A,A,C,C,C,B,B,A,13
2026-02-19 08:18:42,2026-02-19 08:18:42,IP Address,,100,692,True,2026-02-19 08:18:42,R_B_POST_0234,,,,,,,anonymous,EN,Intervention B,C,C,D,D,B,A,C,A,A,D,C,B,A,B,D,D,C,B,B,B,12
2026-02-22 11:30:30,2026-02-22 11:30:30,IP Address,,100,408,True,2026-02-22 11:30:30,R_B_POST_0210,,,,,,,anonymous,EN,Intervention A,B,D,D,B,C,A,B,C,C,D,D,A,A,B,C,D,C,C,B,B,9
2026-02-13 11:36:24,2026-02-13 11:36:24,IP Address,,100,816,True,2026-02-13 11:36:24,R_B_POST_0228,,,,,,,anonymous,EN,Intervention B,D,C,A,D,B,A,B,C,B,B,C,B,A,B,C,B,B,B,B,B,18
2026-02-07 14:03:57,2026-02-07 14:03:57,IP Address,,100,309,True,2026-02-07 14:03:57,R_B_POST_0249,,,,,,,anonymous,EN,Intervention B,C,C,A,C,B,A,B,C,B,B,A,C,A,B,D,B,B,B,B,B,13
2026-02-10 08:57:03,2026-02-10 08:57:03,IP Address,,100,818,True,2026-02-10 08:57:03,R_B_POST_0171,,,,,,,anonymous,EN,Control,D,C,D,D,B,C,C,C,D,B,C,B,A,B,C,C,A,B,B,D,15
2026-02-17 15:37:43,2026-02-17 15:37:43,IP Address,,100,803,True,2026-02-17 15:37:43,R_B_POST_0151,,,,,,,anonymous,EN,Control,A,B,D,D,D,A,D,C,B,D,C,B,C,C,C,C,D,B,C,C,10
2026-02-01 08:03:57,2026-02-01 08:03:57,IP Address,,100,895,True,2026-02-01 08:03:57,R_B_POST_0189,,,,,,,anonymous,EN,Intervention A,B,C,D,B,A,C,C,C,B,D,D,B,A,D,B,D,C,C,B,C,7
2026-02-01 08:21:39,2026-02-01 08:21:39,IP Address,,100,274,True,2026-02-01 08:21:39,R_B_POST_0243,,,,,,,anonymous,EN,Intervention B,A,C,D,D,B,A,B,D,B,B,C,B,A,C,B,D,B,B,B,C,14
2026-02-14 12:25:55,2026-02-14 12:25:55,IP Address,,100,352,True,2026-02-14 12:25:55,R_B_POST_0175,,,,,,,anonymous,EN,Intervention A,A,C,C,D,B,A,B,C,D,B,C,A,B,B,B,B,D,B,B,D,11
2026-02-21 10:05:35,2026-02-21 10:05:35,IP Address,,100,508,True,2026-02-21 10:05:35,R_B_POST_0155,,,,,,,anonymous,EN,Control,A,D,C,C,C,C,A,C,A,D,C,A,A,A,A,A,A,C,B,D,4
2026-02-03 10:17:23,2026-02-03 10:17:23,IP Address,,100,374,True,2026-02-03 10:17:23,R_B_POST_0191,,,,,,,anonymous,EN,Intervention A,D,D,D,C,B,D,B,C,B,D,D,A,A,A,D,C,D,C,B,C,9
2026-02-23 12:46:34,2026-02-23 12:46:34,IP Address,,100,103,True,2026-02-23 12:46:34,R_B_POST_0238,,,,,,,anonymous,EN,Intervention B,D,A,D,B,B,D,A,D,C,A,C,B,D,B,C,D,A,B,B,A,9
2026-02-06 13:29:11,2026-02-06 13:29:11,IP Address,,100,641,True,2026-02-06 13:29:11,R_B_POST_0167,,,,,,,anonymous,EN,Control,C,D,D,A,D,D,D,D,B,B,C,B,C,C,C,D,B,B,D,B,9
2026-02-08 15:34:46,2026-02-08 15:34:46,IP Address,,100,759,True,2026-02-08 15:34:46,R_B_POST_0142,,,,,,,anonymous,EN,Control,A,C,A,B,A,B,A,C,A,C,A,C,A,A,C,D,C,A,B,B,6
2026-02-13 11:09:51,2026-02-13 11:09:51,IP Address,,100,130,True,2026-02-13 11:09:51,R_B_POST_0147,,,,,,,anonymous,EN,Control,C,D,D,D,B,A,B,C,B,A,C,A,A,B,D,B,B,D,B,D,12
2026-02-10 08:24:36,2026-02-10 08:24:36,IP Address,,100,885,True,2026-02-10 08:24:36,R_B_POST_0252,,,,,,,anonymous,EN,Intervention B,D,B,D,D,B,A,A,C,D,A,C,A,A,B,C,C,B,B,B,B,15
2026-02-23 12:28:52,2026-02-23 12:28:52,IP Address,,100,890,True,2026-02-23 12:28:52,R_B_POST_0184,,,,,,,anonymous,EN,Intervention A,D,C,D,D,B,A,B,D,B,B,C,B,A,B,C,B,B,C,B,A,16
2026-02-16 14:48:12,2026-02-16 14:48:12,IP Address,,100,124,True,2026-02-16 14:48:12,R_B_POST_0204,,,,,,,anonymous,EN,Intervention A,C,C,D,D,A,A,B,C,B,A,C,B,A,B,C,A,A,B,B,B,15
2026-02-07 14:45:15,2026-02-07 14:45:15,IP Address,,100,245,True,2026-02-07 14:45:15,R_B_POST_0195,,,,,,,anonymous,EN,Intervention A,D,D,D,D,B,D,D,C,B,B,B,B,A,D,C,A,A,B,B,B,13
2026-02-18 16:11:29,2026-02-18 16:11:29,IP Address,,100,365,True,2026-02-18 16:11:29,R_B_POST_0233,,,,,,,anonymous,EN,Intervention B,C,B,D,B,B,A,C,C,B,C,C,B,A,B,C,D,C,C,B,D,11
2026-02-03 10:35:05,2026-02-03 10:35:05,IP Address,,100,219,True,2026-02-03 10:35:05,R_B_POST_0245,,,,,,,anonymous,EN,Intervention B,D,C,D,D,B,D,B,C,B,A,C,B,B,B,C,C,B,B,B,D,16
2026-02-10 08:48:12,2026-02-10 08:48:12,IP Address,,100,873,True,2026-02-10 08:48:12,R_B_POST_0144,,,,,,,anonymous,EN,Control,D,B,D,C,A,D,D,A,D,D,B,B,A,B,B,D,A,A,D,D,5
2026-02-10 08:15:45,2026-02-10 08:15:45,IP Address,,100,689,True,2026-02-10 08:15:45,R_B_POST_0225,,,,,,,anonymous,EN,Intervention B,D,D,D,B,C,B,B,C,B,B,C,C,A,B,C,C,B,C,B,B,14
2026-02-25 14:51:09,2026-02-25 14:51:09,IP Address,,100,637,True,2026-02-25 14:51:09,R_B_POST_0213,,,,,,,anonymous,EN,Intervention A,D,B,B,D,B,C,C,C,C,B,C,C,A,B,C,A,B,B,B,B,13
2026-02-24 13:44:56,2026-02-24 13:44:56,IP Address,,100,686,True,2026-02-24 13:44:56,R_B_POST_0212,,,,,,,anonymous,EN,Intervention A,C,C,D,D,B,B,B,A,B,B,C,B,A,D,D,C,A,B,B,B,14
2026-02-09 16:59:41,2026-02-09 16:59:41,IP Address,,100,334,True,2026-02-09 16:59:41,R_B_POST_0197,,,,,,,anonymous,EN,Intervention A,D,C,D,D,D,A,B,C,C,B,C,B,A,B,C,C,B,B,B,B,18
2026-02-06 13:47:53,2026-02-06 13:47:53,IP Address,,100,873,True,2026-02-06 13:47:53,R_B_POST_0221,,,,,,,anonymous,EN,Intervention B,D,D,D,D,B,C,B,C,B,B,C,C,A,B,C,C,D,B,A,B,15
2026-02-07 14:36:24,2026-02-07 14:36:24,IP Address,,100,883,True,2026-02-07 14:36:24,R_B_POST_0168,,,,,,,anonymous,EN,Control,B,D,D,A,B,D,C,A,C,B,B,B,B,C,D,A,B,D,B,B,7
2026-02-20 09:16:04,2026-02-20 09:16:04,IP Address,,100,490,True,2026-02-20 09:16:04,R_B_POST_0208,,,,,,,anonymous,EN,Intervention A,B,A,D,D,B,A,C,C,A,B,D,B,A,A,C,C,C,A,B,A,11
2026-02-07 14:54:06,2026-02-07 14:54:06,IP Address,,100,310,True,2026-02-07 14:54:06,R_B_POST_0222,,,,,,,anonymous,EN,Intervention B,D,C,D,D,B,A,B,C,A,B,C,D,A,C,C,C,A,B,B,A,15
2026-02-08 15:10:10,2026-02-08 15:10:10,IP Address,,100,857,True,2026-02-08 15:10:10,R_B_POST_0250,,,,,,,anonymous,EN,Intervention B,D,B,D,D,B,A,B,B,B,B,C,B,B,B,C,D,B,B,B,B,16
