StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q3_7,Q3_8,Q3_9,Q3_10
2026-02-09 16:56:44,2026-02-09 16:56:44,IP Address,,100,87,True,2026-02-09 16:56:44,R_A_PRE_0009,,,,,,,anonymous,EN,4,4,2,3,4,4,4,2,3,4
2026-02-10 08:03:57,2026-02-10 08:03:57,IP Address,,100,500,True,2026-02-10 08:03:57,R_A_PRE_0010,,,,,,,anonymous,EN,3,2,5,3,1,1,1,4,2,2
2026-02-11 09:10:10,2026-02-11 09:10:10,IP Address,,100,451,True,2026-02-11 09:10:10,R_A_PRE_0011,,,,,,,anonymous,EN,2,1,5,2,1,2,1,4,2,2
2026-02-12 10:17:23,2026-02-12 10:17:23,IP Address,,100,825,True,2026-02-12 10:17:23,R_A_PRE_0012,,,,,,,anonymous,EN,3,2,3,2,2,3,2,4,2,2
2026-02-13 11:24:36,2026-02-13 11:24:36,IP Address,,100,793,True,2026-02-13 11:24:36,R_A_PRE_0013,,,,,,,anonymous,EN,3,2,3,3,3,3,2,3,3,2
2026-02-14 12:31:49,2026-02-14 12:31:49,IP Address,,100,572,True,2026-02-14 12:31:49,R_A_PRE_0014,,,,,,,anonymous,EN,5,4,2,5,4,3,4,1,4,4
2026-02-15 13:38:02,2026-02-15 13:38:02,IP Address,,100,65,True,2026-02-15 13:38:02,R_A_PRE_0015,,,,,,,anonymous,EN,4,2,3,1,3,4,3,4,3,3
2026-02-16 14:45:15,2026-02-16 14:45:15,IP Address,,100,879,True,2026-02-16 14:45:15,R_A_PRE_0016,,,,,,,anonymous,EN,4,4,1,5,5,3,4,2,5,3
2026-02-17 15:52:28,2026-02-17 15:52:28,IP Address,,100,613,True,2026-02-17 15:52:28,R_A_PRE_0017,,,,,,,anonymous,EN,3,3,4,3,4,3,3,2,3,3
2026-02-18 16:59:41,2026-02-18 16:59:41,IP Address,,100,750,True,2026-02-18 16:59:41,R_A_PRE_0018,,,,,,,anonymous,EN,3,3,2,4,4,2,3,4,3,2
2026-02-19 08:06:54,2026-02-19 08:06:54,IP Address,,100,658,True,2026-02-19 08:06:54,R_A_PRE_0019,,,,,,,anonymous,EN,4,4,3,3,3,4,3,3,3,3
2026-02-20 09:13:07,2026-02-20 09:13:07,IP Address,,100,395,True,2026-02-20 09:13:07,R_A_PRE_0020,,,,,,,anonymous,EN,3,2,3,3,4,3,2,3,3,3
2026-02-21 10:20:20,2026-02-21 10:20:20,IP Address,,100,306,True,2026-02-21 10:20:20,R_A_PRE_0021,,,,,,,anonymous,EN,3,3,3,2,4,4,3,2,3,3
2026-02-22 11:27:33,2026-02-22 11:27:33,IP Address,,100,396,True,2026-02-22 11:27:33,R_A_PRE_0022,,,,,,,anonymous,EN,3,3,3,2,2,3,3,4,3,3
2026-02-23 12:34:46,2026-02-23 12:34:46,IP Address,,100,497,True,2026-02-23 12:34:46,R_A_PRE_0023,,,,,,,anonymous,EN,3,5,2,2,3,2,3,3,4,3
2026-02-24 13:41:59,2026-02-24 13:41:59,IP Address,,100,215,True,2026-02-24 13:41:59,R_A_PRE_0024,,,,,,,anonymous,EN,3,3,3,4,3,3,3,3,4,4
2026-02-25 14:48:12,2026-02-25 14:48:12,IP Address,,100,484,True,2026-02-25 14:48:12,R_A_PRE_0025,,,,,,,anonymous,EN,2,2,3,2,1,3,3,5,3,2
2026-02-26 15:55:25,2026-02-26 15:55:25,IP Address,,100,142,True,2026-02-26 15:55:25,R_A_PRE_0026,,,,,,,anonymous,EN,3,3,3,3,2,2,3,3,3,3
2026-02-27 16:02:38,2026-02-27 16:02:38,IP Address,,100,391,True,2026-02-27 16:02:38,R_A_PRE_0027,,,,,,,anonymous,EN,1,1,4,1,2,2,2,5,2,1
2026-02-01 08:09:51,2026-02-01 08:09:51,IP Address,,100,740,True,2026-02-01 08:09:51,R_A_PRE_0028,,,,,,,anonymous,EN,3,3,4,3,2,3,2,2,4,2
2026-02-02 09:16:04,2026-02-02 09:16:04,IP Address,,100,864,True,2026-02-02 09:16:04,R_A_PRE_0029,,,,,,,anonymous,EN,3,2,3,2,2,2,3,4,2,3
2026-02-03 10:23:17,2026-02-03 10:23:17,IP Address,,100,285,True,2026-02-03 10:23:17,R_A_PRE_0030,,,,,,,anonymous,EN,2,3,3,3,1,3,3,3,3,3
2026-02-04 11:30:30,2026-02-04 11:30:30,IP Address,,100,67,True,2026-02-04 11:30:30,R_A_PRE_0031,,,,,,,anonymous,EN,3,4,4,3,2,2,4,3,2,3
2026-02-05 12:37:43,2026-02-05 12:37:43,IP Address,,100,270,True,2026-02-05 12:37:43,R_A_PRE_0032,,,,,,,anonymous,EN,4,4,1,4,5,4,4,2,5,5
2026-02-06 13:44:56,2026-02-06 13:44:56,IP Address,,100,192,True,2026-02-06 13:44:56,R_A_PRE_0033,,,,,,,anonymous,EN,3,1,5,3,2,1,2,4,3,1
2026-02-07 14:51:09,2026-02-07 14:51:09,IP Address,,100,302,True,2026-02-07 14:51:09,R_A_PRE_0034,,,,,,,anonymous,EN,2,1,5,1,2,1,2,5,2,2
2026-02-08 15:58:22,2026-02-08 15:58:22,IP Address,,100,219,True,2026-02-08 15:58:22,R_A_PRE_0035,,,,,,,anonymous,EN,3,3,2,3,3,4,3,4,4,2
2026-02-09 16:05:35,2026-02-09 16:05:35,IP Address,,100,381,True,2026-02-09 16:05:35,R_A_PRE_0036,,,,,,,anonymous,EN,3,3,4,2,3,3,4,4,3,4
2026-02-10 08:12:48,2026-02-10 08:12:48,IP Address,,100,847,True,2026-02-10 08:12:48,R_A_PRE_0037,,,,,,,anonymous,EN,5,5,1,5,5,5,5,1,5,5
2026-02-11 09:19:01,2026-02-11 09:19:01,IP Address,,100,877,True,2026-02-11 09:19:01,R_A_PRE_0038,,,,,,,anonymous,EN,3,3,3,3,3,3,3,3,4,2
2026-02-12 10:26:14,2026-02-12 10:26:14,IP Address,,100,276,True,2026-02-12 10:26:14,R_A_PRE_0039,,,,,,,anonymous,EN,3,2,4,2,4,2,2,3,3,2
2026-02-13 11:33:27,2026-02-13 11:33:27,IP Address,,100,462,True,2026-02-13 11:33:27,R_A_PRE_0040,,,,,,,anonymous,EN,1,1,5,1,1,1,1,5,1,1
2026-02-14 12:40:40,2026-02-14 12:40:40,IP Address,,100,78,True,2026-02-14 12:40:40,R_A_PRE_0041,,,,,,,anonymous,EN,3,3,3,4,4,3,3,3,4,2
2026-02-15 13:47:53,2026-02-15 13:47:53,IP Address,,100,504,True,2026-02-15 13:47:53,R_A_PRE_0042,,,,,,,anonymous,EN,2,2,4,2,2,2,2,5,1,3
2026-02-16 14:54:06,2026-02-16 14:54:06,IP Address,,100,465,True,2026-02-16 14:54:06,R_A_PRE_0043,,,,,,,anonymous,EN,4,3,1,3,4,4,4,3,3,3
2026-02-17 15:01:19,2026-02-17 15:01:19,IP Address,,100,497,True,2026-02-17 15:01:19,R_A_PRE_0044,,,,,,,anonymous,EN,4,3,3,4,3,3,4,3,3,3
2026-02-18 16:08:32,2026-02-18 16:08:32,IP Address,,100,884,True,2026-02-18 16:08:32,R_A_PRE_0045,,,,,,,anonymous,EN,3,3,3,3,4,4,4,3,4,4
2026-02-19 08:15:45,2026-02-19 08:15:45,IP Address,,100,562,True,2026-02-19 08:15:45,R_A_PRE_0046,,,,,,,anonymous,EN,5,4,1,4,4,4,5,1,5,4
2026-02-20 09:22:58,2026-02-20 09:22:58,IP Address,,100,345,True,2026-02-20 09:22:58,R_A_PRE_0047,,,,,,,anonymous,EN,4,5,2,5,5,5,5,1,5,5
2026-02-21 10:29:11,2026-02-21 10:29:11,IP Address,,100,761,True,2026-02-21 10:29:11,R_A_PRE_0048,,,,,,,anonymous,EN,4,4,1,4,5,3,4,1,3,4
2026-02-22 11:36:24,2026-02-22 11:36:24,IP Address,,100,70,True,2026-02-22 11:36:24,R_A_PRE_0049,,,,,,,anonymous,EN,3,4,2,3,2,1,3,2,3,4
2026-02-23 12:43:37,2026-02-23 12:43:37,IP Address,,100,142,True,2026-02-23 12:43:37,R_A_PRE_0050,,,,,,,anonymous,EN,3,3,3,3,4,3,4,3,3,2
2026-02-24 13:50:50,2026-02-24 13:50:50,IP Address,,100,807,True,2026-02-24 13:50:50,R_A_PRE_0051,,,,,,,anonymous,EN,4,4,2,4,3,4,4,3,3,4
2026-02-25 14:57:03,2026-02-25 14:57:03,IP Address,,100,99,True,2026-02-25 14:57:03,R_A_PRE_0052,,,,,,,anonymous,EN,4,3,1,5,3,3,4,3,3,4
2026-02-26 15:04:16,2026-02-26 15:04:16,IP Address,,100,86,True,2026-02-26 15:04:16,R_A_PRE_0053,,,,,,,anonymous,EN,2,3,3,3,2,3,4,3,4,2
2026-02-27 16:11:29,2026-02-27 16:11:29,IP Address,,100,235,True,2026-02-27 16:11:29,R_A_PRE_0054,,,,,,,anonymous,EN,3,4,3,3,2,3,3,4,2,2
2026-02-01 08:18:42,2026-02-01 08:18:42,IP Address,,100,536,True,2026-02-01 08:18:42,R_A_PRE_0055,,,,,,,anonymous,EN,2,1,4,2,2,2,2,4,3,3
2026-02-02 09:25:55,2026-02-02 09:25:55,IP Address,,100,233,True,2026-02-02 09:25:55,R_A_PRE_0056,,,,,,,anonymous,EN,2,3,3,3,3,2,2,4,3,2
2026-02-03 10:32:08,2026-02-03 10:32:08,IP Address,,100,244,True,2026-02-03 10:32:08,R_A_PRE_0057,,,,,,,anonymous,EN,4,3,2,3,2,3,3,2,4,4
2026-02-04 11:39:21,2026-02-04 11:39:21,IP Address,,100,877,True,2026-02-04 11:39:21,R_A_PRE_0058,,,,,,,anonymous,EN,1,1,5,2,2,2,1,4,1,2
2026-02-05 12:46:34,2026-02-05 12:46:34,IP Address,,100,425,True,2026-02-05 12:46:34,R_A_PRE_0059,,,,,,,anonymous,EN,3,2,4,3,2,3,2,4,3,2
2026-02-06 13:53:47,2026-02-06 13:53:47,IP Address,,100,460,True,2026-02-06 13:53:47,R_A_PRE_0060,,,,,,,anonymous,EN,3,2,3,2,2,2,2,3,3,3
